229	422	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	1
114	116	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	0
379	310	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
97	357	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
61	585	1,1,0,1,0,1,0,0,1,1,1,0,1,0,1	1
174	474	1,1,0,1,0,1,0,0,1,1,1,0,1,0,1	0
463	117	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
122	342	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
153	330	1,1,0,1,0,1,1,0,1,1,0,0,1,1,1	1
78	89	1,1,0,1,0,1,1,0,1,1,0,0,1,1,1	0
402	360	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
137	212	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
180	219	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
152	272	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
190	437	1,1,0,0,0,1,0,0,1,1,0,0,1,0,1	1
159	165	1,1,0,0,0,1,0,0,1,1,0,0,1,0,1	0
545	256	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
140	216	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
303	277	0,1,0,0,0,0,0,1,1,1,1,0,1,0,1	1
230	400	0,1,0,0,0,0,0,1,1,1,1,0,1,0,1	0
354	108	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	1
95	112	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	0
342	451	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
149	517	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
259	467	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	1
277	498	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	0
295	123	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
407	420	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
124	310	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	1
92	422	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	0
148	343	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
70	464	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
540	455	1,1,0,1,0,1,0,0,1,1,1,1,1,1,1	1
277	563	1,1,0,1,0,1,0,0,1,1,1,1,1,1,1	0
98	586	0,1,0,0,0,1,1,1,1,1,0,0,1,1,1	1
61	358	0,1,0,0,0,1,1,1,1,1,0,0,1,1,1	0
386	354	0,1,0,0,0,1,1,1,1,1,1,0,1,1,1	1
248	475	0,1,0,0,0,1,1,1,1,1,1,0,1,1,1	0
615	277	1,1,0,0,0,0,0,1,0,0,0,0,1,1,1	1
431	495	1,1,0,0,0,0,0,1,0,0,0,0,1,1,1	0
549	326	1,1,0,1,0,1,0,1,1,1,1,0,1,1,1	1
108	282	1,1,0,1,0,1,0,1,1,1,1,0,1,1,1	0
484	35	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
68	611	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
326	276	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
448	582	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
120	209	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	1
113	625	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1	0
424	284	1,1,0,0,0,1,0,0,1,1,1,0,1,0,1	1
103	626	1,1,0,0,0,1,0,0,1,1,1,0,1,0,1	0
554	631	0,1,0,0,1,1,0,1,1,1,1,0,1,1,1	1
190	290	0,1,0,0,1,1,0,1,1,1,1,0,1,1,1	0
192	348	1,1,0,1,0,1,1,0,0,1,1,0,1,1,1	1
74	307	1,1,0,1,0,1,1,0,0,1,1,0,1,1,1	0
125	297	1,1,0,1,0,1,0,0,1,1,0,0,1,1,1	1
194	207	1,1,0,1,0,1,0,0,1,1,0,0,1,1,1	0
91	248	1,1,0,0,0,1,0,0,1,1,0,0,1,1,1	1
424	622	1,1,0,0,0,1,0,0,1,1,0,0,1,1,1	0
153	426	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	1
195	201	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	0
194	545	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
95	517	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
224	592	0,0,0,0,1,1,0,1,1,1,1,0,1,1,1	1
201	407	0,0,0,0,1,1,0,1,1,1,1,0,1,1,1	0
87	99	1,1,0,0,0,1,0,1,1,1,0,0,1,1,1	1
314	534	1,1,0,0,0,1,0,1,1,1,0,0,1,1,1	0
193	113	1,1,0,1,1,1,0,1,1,1,1,1,1,1,1	1
199	582	1,1,0,1,1,1,0,1,1,1,1,1,1,1,1	0
439	545	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
113	166	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
433	330	1,1,0,0,0,1,0,1,1,1,1,1,1,1,1	1
431	465	1,1,0,0,0,1,0,1,1,1,1,1,1,1,1	0
163	79	1,1,0,0,0,1,0,0,0,0,0,0,1,1,0	1
69	480	1,1,0,0,0,1,0,0,0,0,0,0,1,1,0	0
144	98	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
59	148	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
451	232	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
195	221	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0
345	232	0,1,0,0,0,1,0,0,1,1,1,1,1,1,1	1
311	495	0,1,0,0,0,1,0,0,1,1,1,1,1,1,1	0
201	224	1,1,0,0,1,1,1,1,1,1,1,0,1,1,1	1
195	464	1,1,0,0,1,1,1,1,1,1,1,0,1,1,1	0
191	92	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	1
549	611	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1	0
295	447	1,1,0,0,0,1,1,1,1,1,1,1,1,1,1	1
297	548	1,1,0,0,0,1,1,1,1,1,1,1,1,1,1	0
76	73	1,1,0,0,0,1,1,1,1,1,0,0,1,1,1	1
497	562	1,1,0,0,0,1,1,1,1,1,0,0,1,1,1	0
347	295	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1
